class,cap-shape,cap-surface,cap-color,ruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,x,f,n,f,n,f,w,n,b,t,,s,y,w,p,,n,o,p,w,v,
p,,y,g,t,,f,c,b,k,e,b,f,s,n,c,p,w,n,e,,y,g
e,b,y,n,t,n,f,c,,n,t,r,s,s,p,,p,w,o,p,b,y,w
e,x,g,g,t,n,f,w,b,n,t,b,s,s,p,,p,w,n,n,,,d
e,,f,,t,n,a,w,n,n,e,?,s,k,,w,p,w,,l,w,v,d
p,f,s,g,f,y,a,c,n,p,e,b,k,k,w,n,,o,o,p,n,v,
p,f,s,b,t,l,f,c,,p,,b,s,f,w,c,p,w,n,p,u,v,u
p,f,f,y,f,f,,c,b,p,,,,s,b,b,p,w,o,l,b,y,p
e,s,f,p,t,n,a,w,b,y,,,k,s,b,w,,w,o,l,w,n,d
e,f,,n,,a,f,,b,g,,c,s,f,w,,p,w,o,n,k,n,l
e,,f,e,,f,f,c,,,e,b,f,s,,w,p,w,o,f,k,s,w
p,x,s,n,t,,f,c,n,p,e,?,,k,w,y,,y,t,l,k,,w
e,b,,g,f,,f,c,b,b,e,b,,k,b,g,p,w,,n,k,s,g
e,k,f,e,f,n,a,,,p,t,,,k,n,n,p,n,o,p,k,y,d
e,k,g,e,f,a,f,w,b,w,e,?,s,y,w,w,,o,o,e,u,n,u
e,f,y,,t,n,a,c,,h,e,b,,s,o,c,p,w,o,l,o,v,g
e,b,s,g,t,l,f,c,,h,t,?,s,,w,w,p,w,t,,n,s,d
p,b,s,n,t,,f,c,n,,e,,s,s,w,p,p,,o,e,h,v,m
p,x,s,,f,l,f,c,n,g,e,?,f,s,,,p,,o,p,k,v,g
e,b,s,g,,n,,w,b,k,e,,s,k,g,w,,w,o,p,,v,u
p,,f,b,f,f,f,c,b,,,c,k,s,n,c,,w,o,e,h,,m
p,c,g,e,t,l,f,w,n,,e,,f,s,e,w,p,,o,e,,y,
p,b,y,n,f,f,f,w,n,n,e,c,s,s,w,g,p,w,t,p,,n,u
p,x,,e,t,f,f,c,b,w,e,?,k,,b,w,p,n,,,k,v,u
p,f,s,y,f,,f,w,n,h,t,,s,s,,w,p,w,o,p,r,v,p
p,f,y,n,t,s,a,,n,,t,c,s,k,o,w,p,,o,e,w,a,d
p,x,s,n,t,p,f,c,b,h,e,?,s,,e,w,p,w,,p,k,v,
p,,f,n,f,,f,,b,b,e,b,k,s,,w,p,,o,n,k,v,g
e,x,y,,f,a,a,,b,n,e,,k,k,,o,p,n,o,e,n,a,d
p,s,y,n,f,,f,c,n,,e,?,s,k,p,w,p,w,o,e,u,s,
e,b,y,g,,n,a,c,b,n,t,?,y,s,w,o,p,,,p,n,n,d
e,k,f,e,t,s,f,w,n,p,t,?,,s,n,w,p,o,,,o,,u
e,,g,w,f,,f,,b,w,t,e,,s,w,b,,w,o,p,n,v,w
e,x,s,,t,n,f,w,b,r,t,e,k,f,w,w,,,o,,k,v,d
e,b,s,g,t,f,,w,b,h,e,r,,s,w,w,p,w,o,p,,y,
e,f,s,u,f,s,f,,n,p,e,?,,,g,w,,n,o,p,h,v,d
e,,y,y,f,,f,c,b,p,e,r,,,o,w,p,w,o,p,k,a,p
e,x,y,y,f,,f,c,b,,e,,k,s,w,,p,w,n,l,k,,g
p,,f,y,f,f,,c,b,p,e,r,k,y,e,n,p,,o,l,r,v,u
e,f,s,e,f,a,f,c,b,b,e,e,s,,w,p,p,w,,p,n,n,g
e,x,y,n,f,m,a,w,b,g,t,?,s,s,,w,p,w,o,f,w,,d
e,x,f,u,t,y,f,w,b,w,t,b,y,s,w,w,p,w,o,l,y,y,d
e,c,y,g,f,l,a,c,b,n,t,e,s,s,e,p,,w,o,,w,c,w
p,x,,u,f,a,a,c,b,p,e,b,k,k,p,,p,w,o,p,b,v,d
p,b,y,e,t,n,f,c,n,b,e,,,s,c,w,p,w,o,p,k,a,m
e,c,f,,f,,a,c,b,h,e,e,y,k,g,p,p,w,o,e,u,y,d
e,s,,n,t,a,f,w,n,b,e,?,y,k,w,w,p,w,o,l,k,c,d
e,f,y,e,t,a,f,c,n,b,t,e,,k,w,p,p,w,t,l,k,s,d
e,x,s,n,f,n,f,c,b,r,e,,s,f,w,b,p,w,o,e,o,v,g
e,k,,r,f,n,f,c,b,,t,,f,k,w,p,p,w,t,e,u,v,m
e,f,f,y,f,n,f,c,b,u,t,?,y,f,e,,p,,t,e,h,y,d
e,s,f,,t,f,f,c,b,h,,e,f,k,n,,p,o,o,e,h,y,
p,x,g,e,,c,f,,,b,t,b,f,s,e,n,p,,,e,w,v,l
e,b,s,,f,n,f,c,n,h,,e,s,f,e,w,p,w,,e,b,a,g
e,x,s,g,f,y,f,w,b,b,,e,s,y,w,w,p,,o,p,k,,p
e,b,g,n,,n,a,c,b,o,t,?,,y,w,,p,w,o,e,h,v,l
p,,f,,f,p,f,c,n,w,t,e,s,s,w,,p,w,o,,u,,g
e,f,g,w,f,p,f,w,b,p,e,b,y,k,g,w,p,w,o,n,h,n,g
p,,y,,t,y,a,c,n,b,t,?,,k,g,,p,y,t,e,r,v,d
p,f,,g,f,f,f,w,n,,t,,s,s,n,,p,w,t,,w,a,l
e,x,f,n,f,s,a,c,b,p,t,b,s,y,c,p,p,w,t,e,b,s,w
p,b,,n,f,p,f,c,,b,t,?,,k,e,p,p,w,,,n,s,g
e,,s,p,f,l,f,w,n,u,t,b,s,s,g,p,p,w,o,p,n,n,d
p,f,y,b,f,,,c,b,p,t,?,k,k,,w,p,o,n,n,k,,d
e,k,,c,f,n,f,c,b,b,e,b,y,f,,w,p,,o,p,r,,g
e,k,y,g,f,n,f,c,b,g,,,f,,,,p,w,o,,n,s,
p,x,f,g,f,y,f,w,b,n,t,b,y,,y,p,p,w,n,e,r,a,
p,x,,n,t,l,a,c,b,w,e,?,k,s,c,p,p,w,o,e,w,c,d
e,k,f,p,t,n,,c,b,p,t,b,f,s,w,,,w,o,l,,v,d
e,f,s,n,,l,,c,b,p,,b,s,s,w,p,p,w,o,n,b,c,d
e,x,y,w,t,,,c,n,n,e,b,f,y,e,n,p,w,o,e,k,y,g
p,b,y,n,f,f,f,w,b,,t,r,y,k,w,y,p,w,o,,n,y,p
p,b,y,y,f,f,,c,n,p,,b,s,y,,w,p,,n,p,y,,d
e,s,s,,t,c,f,w,n,h,t,b,s,s,w,w,p,w,,e,w,s,u
p,,s,p,t,,,c,n,k,e,?,s,k,,o,p,w,n,f,r,y,p
p,x,f,n,f,y,a,,n,n,e,e,f,s,w,c,p,,o,,,v,g
p,x,s,n,f,s,a,c,n,n,t,?,k,k,g,y,p,y,o,e,u,,p
e,x,s,,t,n,f,c,,r,t,r,k,,p,e,p,,o,f,w,c,p
e,f,s,g,f,n,f,w,,h,t,e,f,s,w,,p,n,o,,k,,g
p,f,y,y,t,,f,,,b,,r,s,s,w,w,,w,o,l,w,c,p
p,x,f,,f,f,f,c,b,,e,r,s,s,p,w,p,w,t,n,w,n,p
e,k,s,,t,m,f,c,b,g,e,?,s,s,w,,p,w,,l,y,n,l
e,x,s,y,f,,f,c,b,,t,r,s,k,w,b,,w,,p,,y,m
p,x,f,e,f,s,f,c,b,g,e,b,k,s,w,p,p,n,o,l,r,a,p
e,f,f,g,f,n,f,c,n,r,t,b,s,k,p,y,p,w,o,,h,v,p
e,f,,w,f,n,a,c,b,n,t,b,,s,w,w,p,w,o,l,n,s,u
p,s,f,,f,f,,,b,e,e,b,f,,b,b,p,w,,l,h,s,g
e,k,f,u,t,p,f,,b,h,t,,s,y,w,,p,w,o,e,y,s,
p,x,s,w,f,n,,w,b,b,t,c,y,f,g,g,p,,,,n,v,d
e,b,y,g,t,n,f,,b,p,e,c,s,k,w,w,p,n,o,,h,v,
p,f,f,y,f,a,a,c,b,,t,,y,k,p,p,p,w,n,l,h,y,g
p,f,y,g,f,f,,c,b,n,t,e,,k,b,,p,w,n,n,,a,
e,,s,g,f,n,f,,,e,t,?,f,s,w,,p,w,t,p,y,s,
e,,f,g,t,n,,c,b,y,t,c,y,s,b,g,p,w,t,f,n,v,
p,x,,n,t,n,f,,n,w,,,s,s,w,w,p,w,n,e,r,,u
p,,s,,t,f,f,w,b,p,t,,s,s,w,p,p,w,t,n,b,c,d
p,f,f,p,f,m,a,c,b,,t,b,s,k,w,,p,,n,n,n,v,g
p,b,y,,f,p,f,w,b,b,t,?,,y,w,y,p,o,o,e,b,v,p
p,f,f,w,f,f,,c,b,,e,b,k,s,w,y,p,y,n,,k,s,d
p,x,f,g,f,a,f,c,b,n,e,r,,s,g,p,p,,o,p,w,a,p
