Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude,Coordinates_Found
3052758,"October 21, 2024",Washington,Fall City,7700 block of Lake Alice Rd SE,5,1,0,0,1,,47.56812,-121.89086,Yes
3052028,"October 20, 2024",Tennessee,Jackson,2310 N Highland Ave,1,8,0,0,0,,35.6139,-88.8194,Yes
3051984,"October 20, 2024",Louisiana,Baton Rouge,9700 block of Greenwell Springs Rd,0,5,0,0,0,,30.44335,-91.18664,Yes
3051041,"October 19, 2024",Pennsylvania,Philadelphia,2517 N Jessup St,0,7,0,0,0,,39.95222,-75.16218,Yes
3050940,"October 19, 2024",Mississippi,Lexington,24904 MS-17,3,8,0,0,0,,33.11464,-90.05281,Yes
3051717,"October 19, 2024",Georgia,Albany,504 College Dr,1,4,0,0,0,,31.5814,-84.15602,Yes
3051689,"October 19, 2024",Indiana,Fort Wayne,4911 Manistee Dr,1,10,0,0,0,,41.08026,-85.13831,Yes
3047186,"October 14, 2024",Michigan,Detroit,Haverhill St and Southampton St,1,3,0,0,0,,42.33168,-83.048,Yes
3045998,"October 12, 2024",Tennessee,Nashville,Jefferson St and 27th Ave,1,9,0,0,2,,36.16784,-86.77816,Yes
3045675,"October 12, 2024",Oklahoma,Oklahoma City,5878 S Agnew Ave,1,14,0,0,3,,35.47203,-97.52107,Yes
3047310,"October 12, 2024",Georgia,Elberton,Evergreen Dr,1,7,0,0,1,,34.10988,-82.86405,Yes
3046124,"October 12, 2024",Ohio,Cleveland (East Cleveland),15449 Euclid Ave,1,4,0,0,0,,41.50904,-81.61167,Yes
3046477,"October 11, 2024",South Carolina,Newberry,1400 block of Martin St,0,4,0,0,0,,34.27455,-81.61924,Yes
3044413,"October 9, 2024",Missouri,Kansas City,300 block of Westport Rd,0,5,0,0,0,,39.10344,-94.58311,Yes
3041753,"October 6, 2024",Texas,Fort Worth,100 block of NW 24th St,1,5,0,0,1,,32.75095,-97.33086,Yes
3041259,"October 5, 2024",Oklahoma,Oklahoma City,208 Johnny Bench Dr,0,4,0,0,3,,35.47203,-97.52107,Yes
3040192,"October 4, 2024",California,Redding,6438 Westside Rd,2,3,0,0,1,,40.58762,-122.39249,Yes
3037386,"September 29, 2024",Georgia,Atlanta,2500 block of Gresham Rd,1,3,0,0,0,,33.74831,-84.39111,Yes
3036427,"September 29, 2024",Virginia,Danville,510 Spring St,1,3,0,0,1,,36.58598,-79.4172,Yes
3036055,"September 28, 2024",District of Columbia,Washington,2700 block of Langston Pl SE,1,3,0,0,0,,38.89037,-77.03196,Yes
3037002,"September 28, 2024",North Carolina,Henderson,1110 S Garnett St,0,5,0,0,0,,36.33006,-78.39848,Yes
3037040,"September 27, 2024",South Carolina,Woodruff,115 Griffin Rd,3,1,0,0,0,,34.74011,-82.03601,Yes
3034398,"September 26, 2024",Illinois,Chicago,4255 N Knox Ave,0,4,0,0,0,,41.88425,-87.63245,Yes
3033981,"September 25, 2024",California,Los Angeles,449 W 74th St,0,6,0,0,4,,34.05357,-118.24545,Yes
3029992,"September 21, 2024",Minnesota,Minneapolis,10 S 5th St,2,3,0,0,0,,44.97902,-93.26494,Yes
3030144,"September 21, 2024",New York,Brooklyn,Cherry St and Stewart Ave,0,6,0,0,0,,40.69245,-73.99036,Yes
3030222,"September 21, 2024",Arizona,Phoenix,N 16th St and E Van Buren St,1,3,0,0,1,,33.44825,-112.0758,Yes
3030531,"September 21, 2024",Alabama,Birmingham,2012 Magnolia Ave,4,17,0,0,1,,33.52072,-86.81179,Yes
3030761,"September 21, 2024",Illinois,Chicago,2500 block of S Spaulding Ave,1,6,0,0,0,,41.88425,-87.63245,Yes
3029865,"September 20, 2024",Pennsylvania,Philadelphia,6527 Woodland Ave,1,3,0,0,0,,39.95222,-75.16218,Yes
3027605,"September 18, 2024",Missouri,Saint Louis,5000 block of Kensington Ave,3,1,0,0,0,,38.62775,-90.19956,Yes
3026197,"September 16, 2024",Illinois,Chicago,1500 W 51st St,0,4,0,0,0,,41.88425,-87.63245,Yes
3025439,"September 15, 2024",Missouri,Florissant,2200 block of Windsor Dr,0,4,0,0,0,,38.79171,-90.32338,Yes
3026772,"September 14, 2024",Alabama,Selma,201 N Race St,0,4,0,0,0,,32.41279,-87.02282,Yes
3024100,"September 14, 2024",Kentucky,Louisville,521 N 22nd St,0,4,0,0,0,,38.25489,-85.76666,Yes
3034497,"September 14, 2024",Louisiana,Monroe,,0,6,0,0,0,,32.50983,-92.11879,Yes
3024007,"September 14, 2024",Texas,Houston,4901 Laura Koppe Rd,3,8,0,0,3,,29.76078,-95.36952,Yes
3024089,"September 13, 2024",Tennessee,Antioch,223 Bart Dr,3,1,0,0,0,,36.05993,-86.67201,Yes
3022787,"September 12, 2024",Virginia,Suffolk,822 E Washington St,2,3,0,0,0,,36.73114,-76.58837,Yes
3017817,"September 7, 2024",Kentucky,East Bernstadt,I-75 and KY-909,0,5,1,0,0,,37.18931,-84.11821,Yes
3018370,"September 7, 2024",Florida,Opa Locka,15600 NW 42nd Ave,0,5,0,0,0,,25.90457,-80.25298,Yes
3018252,"September 7, 2024",Pennsylvania,Ellwood City,183 Portersville Rd,1,4,0,0,1,,40.86147,-80.28252,Yes
3017295,"September 6, 2024",District of Columbia,Washington,900 block of Varney St SE,0,5,0,0,0,,38.89037,-77.03196,Yes
3014703,"September 4, 2024",Georgia,Winder,940 Haymon Morris Rd,4,7,0,0,1,,33.99125,-83.72244,Yes
3012631,"September 2, 2024",Illinois,Forest Park,711 Desplaines Ave,4,0,0,0,1,,41.87757,-87.81435,Yes
3012888,"September 2, 2024",New York,Brooklyn,Eastern Pkwy and Classon Ave,1,4,0,0,0,,40.69245,-73.99036,Yes
3013319,"September 2, 2024",Alabama,Bessemer,200 Fourth Ave N,0,4,0,0,0,,33.40203,-86.95399,Yes
3013744,"September 2, 2024",Washington,Federal Way,I-5 and S 320th St,0,5,0,0,1,,47.30151,-122.3303,Yes
3020008,"September 2, 2024",New Jersey,Newark,500 block of Clinton Ave,0,4,0,0,0,,40.73197,-74.17421,Yes
3012738,"September 2, 2024",Tennessee,Antioch,825 Hamilton Crossings,0,6,0,0,1,,36.05993,-86.67201,Yes
3012204,"September 1, 2024",Ohio,Dayton,1100 block of Gettysburg Ave,0,5,0,0,0,,39.7592,-84.19381,Yes
3012525,"September 1, 2024",Ohio,Cleveland,14800 block of Lawndale Ave,0,4,0,0,1,,41.50473,-81.69074,Yes
3012688,"September 1, 2024",Delaware,Milford,200 block of North St,0,4,0,0,0,,38.9107,-75.42854,Yes
3011930,"August 31, 2024",Hawaii,Waianae,85-1300 Waianae Valley Rd,3,2,1,0,0,,21.44991,-158.19113,Yes
3010531,"August 30, 2024",Minnesota,Burnsville,12100 River Hills Dr,0,5,0,0,0,,44.76634,-93.27615,Yes
3011296,"August 30, 2024",Ohio,Euclid,Nicholas Ave and E 222nd St,1,4,0,0,1,,41.59946,-81.52682,Yes
3009463,"August 29, 2024",California,Tulare,Martin Luther King Jr Ave and S St,0,4,0,0,0,,36.20649,-119.34305,Yes
3007365,"August 27, 2024",Pennsylvania,Philadelphia,G St and Allegheny Ave,0,4,0,0,0,,39.95222,-75.16218,Yes
3005280,"August 25, 2024",New York,Syosset,76 Wyoming Ct,4,0,1,0,0,,40.82746,-73.49544,Yes
3005251,"August 25, 2024",Texas,Lubbock,9200 block of US-87 Frontage Rd,1,5,0,0,5,,33.58451,-101.84462,Yes
3005607,"August 25, 2024",South Dakota,Sioux Falls,1301 S Marion Rd,1,3,0,0,0,,43.54576,-96.73131,Yes
3006116,"August 25, 2024",Georgia,Warner Robins,308 Shirley Dr,0,4,0,0,0,,32.62083,-83.60687,Yes
3005079,"August 25, 2024",Alabama,Mobile,Paper Mill Rd and Mckinley St,0,6,0,0,0,,30.68648,-88.05297,Yes
3005802,"August 25, 2024",Pennsylvania,Allentown,112 N 7th St,0,6,0,0,2,,40.60263,-75.47027,Yes
3005100,"August 24, 2024",Georgia,Dalton,1800 Pleasant Grove Dr NE,4,0,0,0,1,,34.76145,-84.97218,Yes
3005346,"August 24, 2024",Pennsylvania,Chester,Butler St and Concord Ave,1,3,0,0,0,,39.84867,-75.35903,Yes
