Language,Family,Region,Speakers,Writing System,ISO Code
Yoruba,Indo-European,India,76000000,Latin,om
Southern Min,Indo-European,India,47000000,Latin,ru
Yue (Cantonese),Dravidian,India,75000000,Devanagari,my
Spanish,Austronesian,Poland,76900000,Devanagari,it
Arabic,Indo-European,Worldwide,76000000,Hangul,ur
Awadhi,Kra-Dai,Vietnam,57000000,Latin,it
Wu (Shanghainese),Koreanic,China,22000000,Simplified Chinese,bn
Yue (Cantonese),Afro-Asiatic,Worldwide,26000000,Devanagari,hak
Javanese,Dravidian,Nigeria,23000000,Perso-Arabic,ta
Italian,Indo-European,Philippines,60000000,Hangul,ig
German,Turkic,China,27000000,Latin,fr
English,Dravidian,India,83000000,Traditional Chinese,yue
Romanian,Indo-European,"Portugal, Brazil",47000000,Perso-Arabic,th
Marathi,Sino-Tibetan,Nigeria,67000000,Hangul,uz
Malayalam,Indo-European,Worldwide,35000000,Latin,ps
Bengali,Sino-Tibetan,Romania,25000000,Bengali,fa
Bhojpuri,Sino-Tibetan,China,77000000,Burmese,om
Ukrainian,Niger-Congo,"Pakistan, India",128000000,Tamil,ro
Amharic,Turkic,Indonesia,341000000,Telugu,pt
Burmese,Kra-Dai,"Russia, Eastern Europe",25000000,Traditional Chinese,nan
Hausa,Indo-European,"Portugal, Brazil",32000000,Latin,hak
Burmese,Austroasiatic,India,460000000,Chinese,ur
Marathi,Kra-Dai,Korea,50000000,Latin,hak
Vietnamese,Niger-Congo,China,69000000,Latin,ha
English,Afro-Asiatic,China,50000000,Burmese,ro
Arabic,Indo-European,Indonesia,50000000,Latin,th
Pashto,Sino-Tibetan,China,34000000,Latin,ml
Tamil,Austronesian,China,50000000,Latin,sd
Japanese,Indo-European,"Afghanistan, Pakistan",82000000,Hangul,bho
Tagalog,Sino-Tibetan,India,26000000,"Shahmukhi, Gurmukhi",ur
Hakka,Turkic,"Germany, Austria",67000000,Telugu,cjy
Pashto,Indo-European,China,125000000,Latin,az
Uzbek,Dravidian,Azerbaijan,73000000,"Kanji, Hiragana, Katakana",de
Kannada,Afro-Asiatic,"India, Pakistan",50000000,Latin,nan
Ukrainian,Indo-European,Thailand,25000000,Thai,pt
Maithili,Dravidian,"Bangladesh, India",35000000,Perso-Arabic,am
Awadhi,Indo-European,India,50000000,Latin,ru
Japanese,Indo-European,"Afghanistan, Pakistan",25000000,Tamil,awa
Pashto,Sino-Tibetan,Worldwide,60000000,Latin,pl
Romanian,Turkic,India,341000000,Devanagari,mr
Uzbek,Austronesian,Indonesia,50000000,Perso-Arabic,hsn
Igbo,Turkic,Italy,341000000,"Shahmukhi, Devanagari",gu
Marathi,Niger-Congo,Philippines,125000000,Oriya,jv
Yue (Cantonese),Sino-Tibetan,Romania,23000000,Latin,am
Burmese,Indo-European,Indonesia,24000000,Oriya,te
Romanian,Koreanic,"India, Pakistan",24000000,Latin,ar
Xiang (Hunanese),Sino-Tibetan,China (Hong Kong),918000000,Latin,mr
Hindi,Indo-European,Iran,28000000,Latin,ur
Jin,Indo-European,Indonesia,69000000,Ethiopic,vi
Korean,Indo-Iranian,India,47000000,Chinese,or
Awadhi,Dravidian,Iran,75000000,Latin,ig
Hakka,Indo-European,"Pakistan, India",47000000,Chinese,es
Marathi,Austronesian,Italy,76900000,Latin,nan
Burmese,Niger-Congo,Philippines,27000000,"Shahmukhi, Devanagari",uz
Hindi,Indo-European,Uzbekistan,22000000,Latin,it
Uzbek,Afro-Asiatic,India,77000000,Ethiopic,pa
Persian,Afro-Asiatic,Ukraine,73000000,Latin,su
Hakka,Sino-Tibetan,India,221000000,Latin,ta
Urdu,Koreanic,"Pakistan, India",67000000,Latin,uz
Maithili,Indo-European,Italy,76000000,Latin,hi
Italian,Indo-European,India,29000000,Latin,ja
Wu (Shanghainese),Indo-European,"Pakistan, India",50000000,Latin,uz
Bhojpuri,Indo-European,Indonesia,29000000,Latin,hsn
Ukrainian,Afro-Asiatic,"Pakistan, India",75000000,Chinese,de
Gujarati,Niger-Congo,Vietnam,25000000,Telugu,sd
Pashto,Sino-Tibetan,Thailand,69000000,Traditional Chinese,kn
Sindhi,Turkic,West Africa,82000000,Chinese,ha
Romanian,Indo-European,China,60000000,Latin,bho
Arabic,Indo-European,Indonesia,25000000,Latin,tl
Bhojpuri,Indo-European,"Portugal, Brazil",35000000,"Kanji, Hiragana, Katakana",hi
Gujarati,Indo-European,China,154000000,Thai,az
Hakka,Afro-Asiatic,Vietnam,69000000,Tamil,yue
Fula,Indo-European,India,83000000,Latin,wuu
Southern Min,Afro-Asiatic,Myanmar,73000000,Latin,or
Hindi,Indo-European,India,69000000,Thai,ml
Tagalog,Sino-Tibetan,"Pakistan, India",24000000,Latin,fa
Yue (Cantonese),Sino-Tibetan,Ukraine,47000000,Thai,mr
Yoruba,Indo-European,China,50000000,Tamil,yue
Marathi,Indo-European,"Middle East, North Africa",34000000,Simplified Chinese,pa
Hausa,Austronesian,India,47000000,"Shahmukhi, Gurmukhi",ar
Korean,Niger-Congo,Poland,27000000,Latin,nan
Oromo,Niger-Congo,"Portugal, Brazil",221000000,"Kanji, Hiragana, Katakana",yue
Bengali,Dravidian,China (Hong Kong),23000000,Latin,fa
Korean,Indo-European,Uzbekistan,221000000,Latin,hi
Xiang (Hunanese),Indo-European,China,32000000,"Kanji, Hiragana, Katakana",de
Hausa,Indo-European,Worldwide,50000000,Devanagari,sd
English,Indo-European,India,25000000,Arabic,mai
Gujarati,Austronesian,"Germany, Austria",50000000,Bengali,de
Jin,Japonic,Nigeria,75000000,Latin,ro
Portuguese,Indo-European,"Germany, Austria",50000000,Burmese,pa
Pashto,Sino-Tibetan,China,75000000,Cyrillic,it
Arabic,Niger-Congo,"Afghanistan, Pakistan",20000000,Latin,ha
Ukrainian,Indo-European,"Afghanistan, Pakistan",47000000,Latin,su
Odia (Oriya),Indo-European,India,125000000,Latin,jv
Thai,Dravidian,Uzbekistan,76000000,Latin,or
Punjabi,Indo-European,Ethiopia,75000000,Arabic,mai
Sundanese,Indo-European,India,341000000,Perso-Arabic,bn
Bengali,Sino-Tibetan,West Africa,67000000,Latin,es
Uzbek,Koreanic,Italy,24000000,"Shahmukhi, Devanagari",om
Urdu,Indo-European,India,75000000,Latin,kn
Spanish,Austronesian,Ethiopia,24000000,"Kanji, Hiragana, Katakana",wuu
Sundanese,Indo-European,"Germany, Austria",69000000,Thai,pt
Persian,Austronesian,"Bangladesh, India",29000000,Burmese,ff
Persian,Indo-European,Worldwide,50000000,"Shahmukhi, Gurmukhi",mai
Igbo,Indo-European,China,27000000,Latin,om
Sindhi,Austronesian,India,82000000,Latin,yue
Korean,Indo-European,Vietnam,69000000,Devanagari,vi
Telugu,Indo-European,Philippines,24000000,Devanagari,ru
Jin,Niger-Congo,Ethiopia,23000000,Latin,tr
Persian,Turkic,"Portugal, Brazil",23000000,Ethiopic,ha
Javanese,Indo-European,China,35000000,Arabic,uz
Gujarati,Sino-Tibetan,Indonesia,24000000,Latin,awa
Fula,Indo-European,India,82000000,Traditional Chinese,de
Azerbaijani,Indo-European,Romania,67000000,Simplified Chinese,tr
Hindi,Indo-European,India,128000000,Arabic,yo
Yoruba,Indo-European,Nigeria,47000000,Latin,ps
Amharic,Indo-European,Romania,50000000,Latin,gu
Yue (Cantonese),Indo-European,India,75000000,Traditional Chinese,mr
Turkish,Indo-European,"Portugal, Brazil",21000000,Latin,wuu
Hausa,Afro-Asiatic,China,47000000,Devanagari,de
Marathi,Indo-European,"Afghanistan, Pakistan",29000000,Latin,uz
Spanish,Niger-Congo,Ethiopia,76000000,Simplified Chinese,te
English,Turkic,Philippines,20000000,Chinese,fr
Xiang (Hunanese),Kra-Dai,"Afghanistan, Pakistan",24000000,"Shahmukhi, Devanagari",ps
Uzbek,Indo-European,Japan,77000000,Latin,th
Javanese,Indo-European,China,25000000,Simplified Chinese,nan
Telugu,Indo-European,China,221000000,Perso-Arabic,hak
Mandarin,Austroasiatic,"Pakistan, India",20000000,Malayalam,tl
Gujarati,Sino-Tibetan,Turkey,221000000,Simplified Chinese,su
Fula,Indo-European,China,21000000,Latin,yo
Vietnamese,Austroasiatic,"Middle East, North Africa",221000000,Chinese,uk
Burmese,Dravidian,"Germany, Austria",75000000,Chinese,sd
Japanese,Indo-Iranian,Nigeria,24000000,Perso-Arabic,sd
Uzbek,Indo-Iranian,"Bangladesh, India",69000000,Chinese,ff
Romanian,Indo-European,India,22000000,Simplified Chinese,nan
Kannada,Dravidian,China,50000000,Gujarati,ar
Yue (Cantonese),Indo-European,Vietnam,230000000,Traditional Chinese,ps
Fula,Indo-European,Nigeria,60000000,Latin,es
Hindi,Austronesian,India,460000000,Latin,ff
Bengali,Indo-European,West Africa,230000000,Burmese,mr
Arabic,Sino-Tibetan,Worldwide,47000000,Latin,th
Romanian,Sino-Tibetan,Indonesia,29000000,Latin,mr
Jin,Indo-European,Azerbaijan,48000000,Cyrillic,pl
German,Niger-Congo,"Germany, Austria",73000000,Bengali,th
Xiang (Hunanese),Dravidian,India,73000000,Hangul,yue
Sindhi,Dravidian,China,77000000,Arabic,uk
Urdu,Kra-Dai,"Germany, Austria",76000000,Burmese,bn
Spanish,Indo-European,Ukraine,32000000,Latin,vi
Azerbaijani,Indo-European,India,379000000,Cyrillic,pl
Hindi,Indo-European,Ethiopia,23000000,Cyrillic,pt
Urdu,Turkic,China,24000000,Latin,uk
Polish,Sino-Tibetan,"Germany, Austria",34000000,Latin,mr
Azerbaijani,Indo-European,China,23000000,Devanagari,it
Yoruba,Indo-Iranian,Worldwide,918000000,Latin,uk
Azerbaijani,Austronesian,"Bangladesh, India",73000000,Perso-Arabic,fr
Portuguese,Afro-Asiatic,Myanmar,460000000,"Kanji, Hiragana, Katakana",hsn
Punjabi,Indo-European,West Africa,24000000,Chinese,su
Vietnamese,Indo-Iranian,India,76900000,Latin,hsn
Polish,Indo-European,Japan,29000000,Tamil,de
Igbo,Sino-Tibetan,Poland,274000000,Latin,om
Hakka,Indo-European,Turkey,28000000,Kannada,uz
Xiang (Hunanese),Austroasiatic,India,918000000,Latin,uz
Russian,Indo-European,"Pakistan, India",28000000,Latin,cjy
Odia (Oriya),Dravidian,"Afghanistan, Pakistan",32000000,Thai,wuu
Sundanese,Indo-European,Nigeria,67000000,"Shahmukhi, Devanagari",hsn
